-6.,-66.0157514435218
-5.999199919991999,-66.00335965437357
-5.998399839983999,-65.99096803267028
-5.997599759975998,-65.978576578515
-5.996799679967997,-65.96618529201092
-5.995999599959996,-65.95379417326134
-5.995199519951996,-65.94140322236966
-5.994399439943995,-65.92901243943928
-5.993599359935994,-65.91662182457375
-5.9927992799279926,-65.90423137787673
-5.991999199919992,-65.89184109945191
-5.991199119911991,-65.87945098940305
-5.99039903990399,-65.86706104783408
-5.989598959895989,-65.85467127484893
-5.988798879887989,-65.84228167055167
-5.987998799879988,-65.82989223504642
-5.987198719871987,-65.81750296843741
-5.986398639863986,-65.80511387082895
-5.985598559855986,-65.79272494232542
-5.984798479847985,-65.78033618303131
-5.983998399839984,-65.76794759305119
-5.983198319831983,-65.7555591724897
-5.982398239823983,-65.74317092145161
-5.981598159815982,-65.73078284004168
-5.980798079807981,-65.71839492836487
-5.97999799979998,-65.70600718652616
-5.97919791979198,-65.69361961463065
-5.9783978397839785,-65.6812322127835
-5.9775977597759775,-65.66884498108993
-5.9767976797679765,-65.65645791965535
-5.975997599759976,-65.64407102858516
-5.975197519751975,-65.63168430798487
-5.974397439743974,-65.61929775796008
-5.973597359735973,-65.6069113786165
-5.972797279727973,-65.59452517005991
-5.971997199719972,-65.58213913239618
-5.971197119711971,-65.56975326573124
-5.97039703970397,-65.55736757017114
-5.96959695969597,-65.54498204582202
-5.968796879687969,-65.53259669279012
-5.967996799679968,-65.52021151118167
-5.967196719671967,-65.50782650110314
-5.966396639663967,-65.495441662661
-5.965596559655966,-65.48305699596179
-5.964796479647965,-65.47067250111215
-5.963996399639964,-65.45828817821888
-5.9631963196319635,-65.44590402738879
-5.9623962396239625,-65.4335200487288
-5.9615961596159615,-65.42113624234592
-5.96079607960796,-65.40875260834724
-5.95999599959996,-65.39636914684
-5.959195919591959,-65.3839858579314
-5.958395839583958,-65.37160274172888
-5.957595759575957,-65.35921979833984
-5.956795679567957,-65.34683702787186
-5.955995599559956,-65.33445443043254
-5.955195519551955,-65.32207200612962
-5.954395439543954,-65.30968975507093
-5.953595359535954,-65.29730767736437
-5.952795279527953,-65.28492577311789
-5.951995199519952,-65.27254404243962
-5.951195119511951,-65.2601624854377
-5.950395039503951,-65.24778110222042
-5.94959495949595,-65.23539989289608
-5.948794879487949,-65.2230188575732
-5.947994799479948,-65.21063799636022
-5.947194719471947,-65.19825730936583
